Año;Mes;Fecha;Dengue;ENOS_C;ENOS;AñoMes;No_Mes;Temp_Max;Temp_Min;Temp_Prom;Casos_Leptospirosis;Lluvia_Acumulada;Temporada;Casos_ESI_IRAG;FRM;Familias_Afectadas;Inundaciones;Encharcamiento;Damnificados_Inundaciones;Damnificados_Encharcamientos;Clasificacion_ONI
2022;Ago;2022-08-01;62;Niña;-1,8;2022Ago;164;26.0;4.9;14.39;9;676.7;Lluvioso;191;11;7;0;3;0;0;NIÑA FUERTE
2022;Sep;2022-09-01;37;Niña;-1,8;2022Sep;165;26.3;4.4;14.21;10;848.9;Lluvioso;211;6;5;0;1;0;0;NIÑA FUERTE
2022;Oct;2022-10-01;65;Niña;-1,7;2022Oct;166;28.7;6.5;14.61;12;2167.5;Lluvioso;188;27;26;1;19;0;52;NIÑA FUERTE
2022;Nov;2022-11-01;55;Niña;-1,5;2022Nov;167;25.6;6.8;14.56;15;2065.1;Lluvioso;209;71;568;0;48;0;137;NIÑA FUERTE
2022;Dic;2022-12-01;75;Niña;-1,5;2022Dic;168;26.5;2.3;14.31;17;874.8;Lluvioso;164;26;61;1;15;0;4;NIÑA DÉBIL
2023;Ene;2023-01-01;25;Niña;-0,7;2023Ene;169;26.8;2.6;14.2;25;1714.1;Lluvioso;244;54;103;0;16;0;12;NIÑA DÉBIL
2023;Feb;2023-02-01;11;Neutro;-0,4;2023Feb;170;27.3;2.0;14.8;11;531.6;Menos lluvioso;285;13;14;0;7;0;7;NIÑA DÉBIL
2023;Mar;2023-03-01;11;Neutro;-0,1;2023Mar;171;26.3;7.0;15.0;11;1573.4;Lluvioso;391;71;89;0;37;0;1366;NIÑA DÉBIL
2023;Abr;2023-04-01;7;Neutro;0,2;2023Abr;172;26.1;6.7;15.2;7;1154.8;Lluvioso;455;16;10;0;7;0;0;NIÑA DÉBIL
2023;May;2023-05-01;15;Neutro;0,5;2023May;173;27.8;6.8;15.8;15;1159.6;Lluvioso;520;9;6;0;13;0;0;NIÑA DÉBIL
2023;Jun;2023-06-01;6;Neutro;0,8;2023Jun;174;25.6;6.4;15.4;6;322.4;Menos lluvioso;341;9;6;0;2;0;0;NIÑA DÉBIL
2023;Jul;2023-07-01;11;Niño;1,1;2023Jul;175;25.2;8.0;15.07;5;710.6;Menos lluvioso;286;8;7;0;2;0;0;NIÑO MODERADO
2023;Ago;2023-08-01;6;Niño;1,3;2023Agos;176;26.6;5.6;15.35;6;657.9;Menos lluvioso;317;9;12;0;1;0;0;NIÑO MODERADO
2023;Sep;2023-09-01;3;Niño;1,6;2023Sep;177;27.8;4.4;15.34;11;709.8;Menos lluvioso;311;4;0;0;8;0;12;NIÑO FUERTE
2023;Oct;2023-10-01;0;Niño;1,8;2023Oct;178;27.9;6.2;15.59;12;1328.8;Lluvioso;291;3;2;0;46;0;53;NIÑO FUERTE
2023;Nov;2023-11-01;4;Niño;1,9;2023Nov;179;26.7;4.9;15.72;16;722.5;Menos lluvioso;347;14;17;0;12;0;3;NIÑO FUERTE
2023;Dic;2023-12-01;2;Niño;2;2023Dic;180;27.0;4.6;15.8;10;621.9;Menos lluvioso;259;8;6;0;4;0;10;NIÑO FUERTE
2024;Ene;2024-01-01;251;Niño;1,8;2024Ene;181;29.8;2.9;15.93;2;156.2;Menos lluvioso;320;0;0;0;0;0;0;NIÑO FUERTE
2024;Feb;2024-02-01;104;Niño;1,5;2024Feb;182;28.3;5.5;16.04;2;772.9;Menos lluvioso;413;5;34;0;7;0;0;NIÑO FUERTE
2024;Mar;2024-03-01;161;Niño;1,1;2024Mar;183;29.8;6.7;16.29;5;670.6;Menos lluvioso;467;12;10;0;2;0;0;NIÑO MODERADO
2024;Abr;2024-04-01;229;Niño;0,7;2024Abr;184;29.4;3.5;15.9;2;1376.7;Lluvioso;562;11;13;0;2;0;0;NIÑO DÉBIL
2024;May;2024-05-01;159;Neutro;0,4;2024May;185;28.9;8.7;16.08;6;1122.6;Lluvioso;739;13;9;0;7;0;6;NEUTRO
2024;Jun;2024-06-01;144;Neutro;0,2;2024Jun;186;28.6;7.5;15.27;2;1334.9;Lluvioso;548;12;14;0;5;0;0;NEUTRO
2024;Jul;2024-07-01;191;Neutro;0;2024Jul;187;28.0;6.9;15.03;4;599.7;Menos lluvioso;425;4;1;0;5;0;133;NEUTRO
2024;Ago;2024-08-01;108;Neutro;-0,1;2024Agos;188;27.8;5.1;14.92;7;188.3;Menos lluvioso;382;2;1;0;0;0;0;NEUTRO
2024;Sep;2024-09-01;67;Neutro;-0,2;2024Sept;189;27.8;5.5;15.39;5;649.7;Menos lluvioso;364;13;19;0;30;0;67;NEUTRO
