Temperaturas[Año];Temperaturas[Mes];Temperaturas[Fecha];Temperaturas[Dengue];Temperaturas[ENOS C];Temperaturas[ENOS];Temperaturas[Añomes];Temperaturas[No. Mes];Temperaturas[Temperatura Máxima];Temperaturas[Temperatura mínima];Temperaturas[Temperatura promedio];Temperaturas[Casos leptospirosis];Temperaturas[Lluvia Acumulada];Temperaturas[Temporada *];Temperaturas[Casos ESI-IRAG];Temperaturas[FRM];Temperaturas[Familias Afectadas];Temperaturas[Inundaciones];Temperaturas[Encharcamiento];Temperaturas[Damnificados inundaciones];Temperaturas[Damnificados encharcamientos];Temperaturas[Clasificación ONI]
2021;Jul;Thu, 01 Jul 2021 00:00:00;20;Neutro;-0,4;2021Jul;151;25.3;7.4;14.5;5;104.8;Menos lluvioso;167;25;12;0;7;0;0;NEUTRO
2021;Ago;Sun, 01 Aug 2021 00:00:00;40;Niña;-0,5;2021Ago;152;26.4;6.6;14.52;8;282.2;Lluvioso;170;16;12;0;13;0;7;NIÑA DÉBIL
2021;Sep;Wed, 01 Sep 2021 00:00:00;31;Niña;-0,7;2021Sep;153;26.1;3.9;14.47;12;127.6;Menos lluvioso;181;9;4;0;3;0;0;NIÑA DÉBIL
2021;Oct;Fri, 01 Oct 2021 00:00:00;29;Niña;-0,8;2021Oct;154;26.4;4.9;14.9;16;498.8;Lluvioso;170;25;58;1;38;7;38;NIÑA DÉBIL
2021;Nov;Mon, 01 Nov 2021 00:00:00;53;Niña;-1;2021Nov;155;26.3;4.4;14.82;9;305;Lluvioso;151;21;182;0;40;0;10;NIÑA MODERADO
2021;Dic;Wed, 01 Dec 2021 00:00:00;36;Niña;-1;2021Dic;156;26.6;3.5;15.49;13;95.5;Menos lluvioso;105;8;27;0;0;0;0;NIÑA MODERADO
2022;Ene;Sat, 01 Jan 2022 00:00:00;44;Niña;-1;2022Ene;157;26.4;3.5;14.94;9;233.6;Lluvioso;81;1;0;0;6;0;0;NIÑA MODERADO
2022;Feb;Tue, 01 Feb 2022 00:00:00;17;Niña;-1;2022Feb;158;26.2;5.1;14.77;8;1439.3;Lluvioso;137;4;4;0;9;0;0;NIÑA MODERADO
2022;Mar;Tue, 01 Mar 2022 00:00:00;21;Niña;-1,3;2022Mar;159;26.4;4.2;15.06;12;1021.5;Lluvioso;212;15;20;0;44;0;111;NIÑA MODERADO
2022;Abr;Fri, 01 Apr 2022 00:00:00;62;Niña;-1,6;2022Abr;160;27.7;5.5;14.92;12;1523.2;Lluvioso;216;35;38;0;38;0;288;NIÑA FUERTE
2022;May;Sun, 01 May 2022 00:00:00;61;Niña;-1,6;2022May;161;27.3;6.6;15.06;13;927.4;Lluvioso;379;24;18;0;10;0;107;NIÑA FUERTE
2022;Jun;Wed, 01 Jun 2022 00:00:00;27;Niña;-1,9;2022Jun;162;25;6;13.95;8;1534.9;Lluvioso;338;50;188;0;31;0;47;NIÑA FUERTE
2022;Jul;Fri, 01 Jul 2022 00:00:00;69;Niña;-2,2;2022Jul;163;25.7;4;14.7;9;720.8;Lluvioso;219;18;39;0;5;0;0;NIÑA FUERTE
2022;Ago;Mon, 01 Aug 2022 00:00:00;62;Niña;-1,8;2022Ago;164;26;4.9;14.39;9;676.7;Lluvioso;191;11;7;0;3;0;0;NIÑA FUERTE
2022;Sep;Thu, 01 Sep 2022 00:00:00;37;Niña;-1,8;2022Sep;165;26.3;4.4;14.21;10;848.9;Lluvioso;211;6;5;0;1;0;0;NIÑA FUERTE
2022;Oct;Sat, 01 Oct 2022 00:00:00;65;Niña;-1,7;2022Oct;166;28.7;6.5;14.61;12;2167.5;Lluvioso;188;27;26;1;19;0;52;NIÑA FUERTE
2022;Nov;Tue, 01 Nov 2022 00:00:00;55;Niña;-1,5;2022Nov;167;25.6;6.8;14.56;15;2065.1;Lluvioso;209;71;568;0;48;0;137;NIÑA FUERTE
2022;Dic;Thu, 01 Dec 2022 00:00:00;75;Niña;-1,5;2022Dic;168;26.5;2.3;14.31;17;874.8;Lluvioso;164;26;61;1;15;0;4;NIÑA DÉBIL
2023;Ene;Sun, 01 Jan 2023 00:00:00;25;Niña;-0,7;2023Ene;169;26.8;2.6;14.2;25;1714.1;Lluvioso;244;54;103;0;16;0;12;NIÑA DÉBIL
2023;Feb;Wed, 01 Feb 2023 00:00:00;11;Neutro;-0,4;2023Feb;170;27.3;2;14.8;11;531.6;Menos lluvioso;285;13;14;0;7;0;7;NIÑA DÉBIL
2023;Mar;Wed, 01 Mar 2023 00:00:00;11;Neutro;-0,1;2023Mar;171;26.3;7;15;11;1573.4;Lluvioso;391;71;89;0;37;0;1366;NIÑA DÉBIL
2023;Abr;Sat, 01 Apr 2023 00:00:00;7;Neutro;0,2;2023Abr;172;26.1;6.7;15.2;7;1154.8;Lluvioso;455;16;10;0;7;0;0;NIÑA DÉBIL
2023;May;Mon, 01 May 2023 00:00:00;15;Neutro;0,5;2023May;173;27.8;6.8;15.8;15;1159.6;Lluvioso;520;9;6;0;13;0;0;NIÑA DÉBIL
2023;Jun;Thu, 01 Jun 2023 00:00:00;6;Neutro;0,8;2023Jun;174;25.6;6.4;15.4;6;322.4;Menos lluvioso;341;9;6;0;2;0;0;NIÑA DÉBIL
2023;Jul;Sat, 01 Jul 2023 00:00:00;11;Niño;1,1;2023Jul;175;25.2;8;15.07;5;710.6;Menos lluvioso;286;8;7;0;2;0;0;NIÑO MODERADO
2023;Ago;Tue, 01 Aug 2023 00:00:00;6;Niño;1,3;2023Agos;176;26.6;5.6;15.35;6;657.9;Menos lluvioso;317;9;12;0;1;0;0;NIÑO MODERADO
2023;Sep;Fri, 01 Sep 2023 00:00:00;3;Niño;1,6;2023Sep;177;27.8;4.4;15.34;11;709.8;Menos lluvioso;311;4;0;0;8;0;12;NIÑO FUERTE
2023;Oct;Sun, 01 Oct 2023 00:00:00;0;Niño;1,8;2023Oct;178;27.9;6.2;15.59;12;1328.8;Lluvioso;291;3;2;0;46;0;53;NIÑO FUERTE
2023;Nov;Wed, 01 Nov 2023 00:00:00;4;Niño;1,9;2023Nov;179;26.7;4.9;15.72;16;722.5;Menos lluvioso;347;14;17;0;12;0;3;NIÑO FUERTE
2023;Dic;Fri, 01 Dec 2023 00:00:00;2;Niño;2;2023Dic;180;27;4.6;15.8;10;621.9;Menos lluvioso;259;8;6;0;4;0;10;NIÑO FUERTE
2024;Ene;Mon, 01 Jan 2024 00:00:00;251;Niño;1,8;2024Ene;181;29.8;2.9;15.93;2;156.2;Menos lluvioso;320;0;0;0;0;0;0;NIÑO FUERTE
2024;Feb;Thu, 01 Feb 2024 00:00:00;104;Niño;1,5;2024Feb;182;28.3;5.5;16.04;2;772.9;Menos lluvioso;413;5;34;0;7;0;0;NIÑO FUERTE
2024;Mar;Fri, 01 Mar 2024 00:00:00;161;Niño;1,1;2024Mar;183;29.8;6.7;16.29;5;670.6;Menos lluvioso;467;12;10;0;2;0;0;NIÑO MODERADO
2024;Abr;Mon, 01 Apr 2024 00:00:00;229;Niño;0,7;2024Abr;184;29.4;3.5;15.9;2;1376.7;Lluvioso;562;11;13;0;2;0;0;NIÑO DÉBIL
2024;May;Wed, 01 May 2024 00:00:00;159;Neutro;0,4;2024May;185;28.9;8.7;16.08;6;1122.6;Lluvioso;739;13;9;0;7;0;6;NEUTRO
2024;Jun;Sat, 01 Jun 2024 00:00:00;144;Neutro;0,2;2024Jun;186;28.6;7.5;15.27;2;1334.9;Lluvioso;548;12;14;0;5;0;0;NEUTRO
2024;Jul;Mon, 01 Jul 2024 00:00:00;191;Neutro;0;2024Jul;187;28;6.9;15.03;4;599.7;Menos lluvioso;425;4;1;0;5;0;133;NEUTRO
2024;Ago;Thu, 01 Aug 2024 00:00:00;108;Neutro;-0,1;2024Agos;188;27.8;5.1;14.92;7;188.3;Menos lluvioso;382;2;1;0;0;0;0;NEUTRO
2024;Sep;Sun, 01 Sep 2024 00:00:00;67;Neutro;-0,2;2024Sept;189;27.8;5.5;15.39;5;649.7;Menos lluvioso;364;13;19;0;30;0;67;NEUTRO
